id,name,description,category,image_url,location
ava-mitchell,Ava Mitchell,"Ava is Miss Central Indiana, an Indiana University senior studying elementary education. Her community initiative, ""Turning Pages,"" has placed over 4,000 free books in Central Indiana classrooms, and she competes with a classical vocal performance.",Miss Central Indiana,https://picsum.photos/seed/ava-mitchell/800/1000,Indianapolis
sophia-bennett,Sophia Bennett,"Sophia is Miss White River, a nursing student and mental health advocate who speaks in Delaware County schools about reducing stigma around anxiety and depression. She competes with a lyrical dance routine.",Miss White River,https://picsum.photos/seed/sophia-bennett/800/1000,Muncie
harper-collins,Harper Collins,"Harper is Miss Central Indiana's Teen. A sophomore and student council leader, she built a peer-mentoring program to prevent bullying in Hamilton County middle schools and performs classical piano.",Miss Central Indiana's Teen,https://picsum.photos/seed/harper-collins/800/1000,Carmel
ruby-alvarez,Ruby Alvarez,"Ruby is Miss White River's Teen, representing Henry County. She founded a after-school mentoring circle for younger girls and competes with a musical theatre vocal number.",Miss White River's Teen,https://picsum.photos/seed/ruby-alvarez/800/1000,New Castle
chloe-nguyen,Chloe Nguyen,"Chloe is Miss Central Indiana, an engineering major on a mission to get more girls into STEM through the hands-on workshops she runs at local libraries. She competes on violin.",Miss Central Indiana,https://picsum.photos/seed/chloe-nguyen/800/1000,Fishers
mia-thompson,Mia Thompson,"Mia is Miss White River, a Madison County native and former foster youth who now advocates statewide for children in the foster care system. Her talent is contemporary vocal.",Miss White River,https://picsum.photos/seed/mia-thompson/800/1000,Anderson
grace-parker,Grace Parker,"Grace is Miss Central Indiana's Teen, a competitive baton twirler who volunteers weekly with Special Olympics Indiana and hopes to study occupational therapy.",Miss Central Indiana's Teen,https://picsum.photos/seed/grace-parker/800/1000,Noblesville
isabella-ford,Isabella Ford,"Isabella is Miss White River's Teen from Wayne County. She teaches free art classes at her local community center and competes with a contemporary dance solo.",Miss White River's Teen,https://picsum.photos/seed/isabella-ford/800/1000,Richmond
lily-brooks,Lily Brooks,"Lily is our Shining Star spotlight, a Grant County ambassador for individuals with disabilities who joins our titleholders at appearances throughout the year to share her story.",Shining Star,https://picsum.photos/seed/lily-brooks/800/1000,Marion
emma-walsh,Emma Walsh,"Emma is Miss Central Indiana, a communications major and proud military kid who supports Hoosier veteran families through a care-package initiative she started in high school. She competes with a tap routine.",Miss Central Indiana,https://picsum.photos/seed/emma-walsh/800/1000,Greenwood
